StateName,County,Countyrate,City,Salestaxrate,AlachuaCounty,7%
Alabama,,,Calera,9%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Montevallo,10%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Chelsea,10%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Columbiana,5%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Maylene,9%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Sterrett,5%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Wilsonville,8%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Vincent,9%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Shelby,5%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Harpersville,9%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Vandiver,5%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Saginaw,7%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Westover,9%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,,,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,St Clair County,10%,Odenville,10%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Moody,10%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Pell City,6%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Springville,6%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Pell City,10%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Ashville,6%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Cropwell,6%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Ragland,10%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Steele,8%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
Alabama,,,Riverside,10%,"Source: salestaxhandbook.com

Date: 09-10-2021
",
